Country,2015,2016,2017,2018,2019,2020
Finland,7.406,7.413,7.468999863,7.632,7.769,7.808700085
Denmark,7.527,7.526,7.521999836,7.555,7.6,7.645599842
Switzerland,7.587,7.509,7.493999958,7.487,7.48,7.559899807
Iceland,7.561,7.501,7.504000187,7.495,7.494,7.504499912
Norway,7.522,7.498,7.537000179,7.594,7.554,7.487999916
Netherlands,7.378,7.339,7.376999855,7.441,7.488,7.448900223
Sweden,7.364,7.291,7.28399992,7.314,7.343,7.353499889
New Zealand,7.286,7.334,7.31400013,7.324,7.307,7.299600124
Austria,7.2,7.119,7.006000042,7.139,7.246,7.294199944
Luxembourg,6.946,6.871,6.862999916,6.91,7.09,7.237500191
Canada,7.427,7.404,7.315999985,7.328,7.278,7.23210001
Australia,7.284,7.313,7.28399992,7.272,7.228,7.222799778
United Kingdom,6.867,6.725,6.714000225,7.19,7.054,7.164500237
Israel,7.278,7.267,7.212999821,6.814,7.139,7.128600121
Costa Rica,7.226,7.087,7.078999996,7.072,7.167,7.121399879
Ireland,6.94,6.907,6.977000237,6.977,7.021,7.093699932
Germany,6.75,6.994,6.951000214,6.965,6.985,7.075799942
United States,7.119,7.104,6.993000031,6.886,6.892,6.939599991
Czech Republic,6.505,6.596,6.609000206,6.711,6.852,6.910900116
Belgium,6.937,6.929,6.890999794,6.927,6.923,6.863500118
United Arab Emirates,6.901,6.573,6.647999763,6.774,6.825,6.790800095
Malta,6.302,6.488,6.52699995,6.627,6.726,6.772799969
France,6.575,6.478,6.441999912,6.489,6.592,6.663799763
Mexico,7.187,6.778,6.578000069,6.488,6.595,6.465000153
Taiwan Province of China,0,0,6.421999931,0,0,6.45539999
Uruguay,6.485,6.545,6.453999996,6.379,6.293,6.440100193
Saudi Arabia,6.411,6.379,6.343999863,6.371,6.375,6.406499863
Spain,6.329,6.361,6.402999878,6.31,6.354,6.400899887
Guatemala,6.123,6.324,6.453999996,6.382,6.436,6.398900032
Italy,5.948,5.977,5.964000225,6,6.223,6.38740015
