Country,Year,Happiness
Switzerland,2015,7.587
Iceland,2015,7.561
Denmark,2015,7.527
Norway,2015,7.522
Canada,2015,7.427
Finland,2015,7.406
Netherlands,2015,7.378
Sweden,2015,7.364
New Zealand,2015,7.286
Australia,2015,7.284
Israel,2015,7.278
Costa Rica,2015,7.226
Austria,2015,7.2
Mexico,2015,7.187
United States,2015,7.119
Brazil,2015,6.983
Luxembourg,2015,6.946
Ireland,2015,6.94
Belgium,2015,6.937
United Arab Emirates,2015,6.901
United Kingdom,2015,6.867
Oman,2015,6.853
Venezuela,2015,6.81
Singapore,2015,6.798
Panama,2015,6.786
Germany,2015,6.75
Chile,2015,6.67
Qatar,2015,6.611
France,2015,6.575
Argentina,2015,6.574
Czech Republic,2015,6.505
Uruguay,2015,6.485
Colombia,2015,6.477
Thailand,2015,6.455
Saudi Arabia,2015,6.411
Spain,2015,6.329
Malta,2015,6.302
Taiwan,2015,6.298
Kuwait,2015,6.295
Suriname,2015,6.269
Trinidad and Tobago,2015,6.168
El Salvador,2015,6.13
Guatemala,2015,6.123
Uzbekistan,2015,6.003
Slovakia,2015,5.995
Japan,2015,5.987
South Korea,2015,5.984
Ecuador,2015,5.975
Bahrain,2015,5.96
Italy,2015,5.948
Bolivia,2015,5.89
Moldova,2015,5.889
Paraguay,2015,5.878
Kazakhstan,2015,5.855
Slovenia,2015,5.848
Lithuania,2015,5.833
Nicaragua,2015,5.828
Peru,2015,5.824
Belarus,2015,5.813
Poland,2015,5.791
Malaysia,2015,5.77
Croatia,2015,5.759
Libya,2015,5.754
Russia,2015,5.716
Jamaica,2015,5.709
North Cyprus,2015,5.695
Cyprus,2015,5.689
Algeria,2015,5.605
Kosovo,2015,5.589
Turkmenistan,2015,5.548
Mauritius,2015,5.477
Hong Kong,2015,5.474
Estonia,2015,5.429
Indonesia,2015,5.399
Vietnam,2015,5.36
Turkey,2015,5.332
Kyrgyzstan,2015,5.286
Nigeria,2015,5.268
Bhutan,2015,5.253
Azerbaijan,2015,5.212
Pakistan,2015,5.194
Jordan,2015,5.192
Montenegro,2015,5.192
China,2015,5.14
Zambia,2015,5.129
Romania,2015,5.124
Serbia,2015,5.123
Portugal,2015,5.102
Latvia,2015,5.098
Philippines,2015,5.073
Somaliland region,2015,5.057
Morocco,2015,5.013
Macedonia,2015,5.007
Mozambique,2015,4.971
Albania,2015,4.959
Bosnia and Herzegovina,2015,4.949
Lesotho,2015,4.898
Dominican Republic,2015,4.885
Laos,2015,4.876
Mongolia,2015,4.874
Swaziland,2015,4.867
Greece,2015,4.857
Lebanon,2015,4.839
Hungary,2015,4.8
Honduras,2015,4.788
Tajikistan,2015,4.786
Tunisia,2015,4.739
Palestinian Territories,2015,4.715
Bangladesh,2015,4.694
Iran,2015,4.686
Ukraine,2015,4.681
