Country,Year,Score,
Afghanistan,2015,3.575,
Afghanistan,2016,3.36,
Afghanistan,2017,3.79399991,
Afghanistan,2018,3.632,
Afghanistan,2019,3.203,
Afghanistan,2020,2.566900015,
Albania,2015,4.959,
Albania,2016,4.655,
Albania,2017,4.644000053,
Albania,2018,4.586,
Albania,2019,4.719,
Albania,2020,4.882699966,
Algeria,2015,5.605,
Algeria,2016,6.355,
Algeria,2017,5.872000217,
Algeria,2018,5.295,
Algeria,2019,5.211,
Algeria,2020,5.005099773,
Argentina,2015,6.574,
Argentina,2016,6.65,
Argentina,2017,6.598999977,
Argentina,2018,6.388,
Argentina,2019,6.086,
Argentina,2020,5.974699974,
Armenia,2015,4.35,
Armenia,2016,4.36,
Armenia,2017,4.375999928,
Armenia,2018,4.321,
Armenia,2019,4.559,
Armenia,2020,4.676799774,
Australia,2015,7.284,
Australia,2016,7.313,
Australia,2017,7.28399992,
Australia,2018,7.272,
Australia,2019,7.228,
Australia,2020,7.222799778,
Austria,2015,7.2,
Austria,2016,7.119,
Austria,2017,7.006000042,
Austria,2018,7.139,
Austria,2019,7.246,
Austria,2020,7.294199944,
Azerbaijan,2015,5.212,
Azerbaijan,2016,5.291,
Azerbaijan,2017,5.234000206,
Azerbaijan,2018,5.201,
Azerbaijan,2019,5.208,
Azerbaijan,2020,5.164800167,
Bahrain,2015,5.96,
Bahrain,2016,6.218,
Bahrain,2017,6.086999893,
Bahrain,2018,6.105,
Bahrain,2019,6.199,
Bahrain,2020,6.227300167,
Bangladesh,2015,4.694,
Bangladesh,2016,4.643,
Bangladesh,2017,4.607999802,
Bangladesh,2018,4.5,
Bangladesh,2019,4.456,
Bangladesh,2020,4.832799911,
Belarus,2015,5.813,
Belarus,2016,5.802,
Belarus,2017,5.568999767,
Belarus,2018,5.483,
Belarus,2019,5.323,
Belarus,2020,5.539899826,
Belgium,2015,6.937,
Belgium,2016,6.929,
Belgium,2017,6.890999794,
Belgium,2018,6.927,
Belgium,2019,6.923,
Belgium,2020,6.863500118,
Benin,2015,3.34,
Benin,2016,3.484,
Benin,2017,3.657000065,
Benin,2018,4.141,
Benin,2019,4.883,
Benin,2020,5.21600008,
Bolivia,2015,5.89,
Bolivia,2016,5.822,
Bolivia,2017,5.822999954,
Bolivia,2018,5.752,
Bolivia,2019,5.779,
Bolivia,2020,5.747499943,
Bosnia and Herzegovina,2015,4.949,
Bosnia and Herzegovina,2016,5.163,
Bosnia and Herzegovina,2017,5.18200016,
Bosnia and Herzegovina,2018,5.129,
Bosnia and Herzegovina,2019,5.386,
Bosnia and Herzegovina,2020,5.674099922,
Botswana,2015,4.332,
Botswana,2016,3.974,
Botswana,2017,3.766000032,
Botswana,2018,3.59,
Botswana,2019,3.488,
Botswana,2020,3.478899956,
Brazil,2015,6.983,
Brazil,2016,6.952,
Brazil,2017,6.635000229,
Brazil,2018,6.419,
Brazil,2019,6.3,
Brazil,2020,6.375599861,
Bulgaria,2015,4.218,
Bulgaria,2016,4.217,
Bulgaria,2017,4.714000225,
Bulgaria,2018,4.933,
Bulgaria,2019,5.011,
Bulgaria,2020,5.101500034,
Burkina Faso,2015,3.587,
Burkina Faso,2016,3.739,
Burkina Faso,2017,4.032000065,
Burkina Faso,2018,4.424,
Burkina Faso,2019,4.587,
Burkina Faso,2020,4.768700123,
Burundi,2015,2.905,
Burundi,2016,2.905,
Burundi,2017,2.904999971,
Burundi,2018,2.905,
Burundi,2019,3.775,
Burundi,2020,3.775300026,
Cambodia,2015,3.819,
Cambodia,2016,3.907,
Cambodia,2017,4.168000221,
Cambodia,2018,4.433,
Cambodia,2019,4.7,
Cambodia,2020,4.848400116,
Cameroon,2015,4.252,
Cameroon,2016,4.513,
Cameroon,2017,4.695000172,
Cameroon,2018,4.975,
Cameroon,2019,5.044,
Cameroon,2020,5.084899902,
Canada,2015,7.427,
Canada,2016,7.404,
Canada,2017,7.315999985,
Canada,2018,7.328,
Canada,2019,7.278,
Canada,2020,7.23210001,
Central African Republic,2015,3.678,
Central African Republic,2016,0,
Central African Republic,2017,2.693000078,
Central African Republic,2018,3.083,
Central African Republic,2019,3.083,
Central African Republic,2020,3.475899935,
Chad,2015,3.667,
Chad,2016,3.763,
Chad,2017,3.936000109,
Chad,2018,4.301,
Chad,2019,4.35,
Chad,2020,4.422699928,
Chile,2015,6.67,
Chile,2016,6.705,
Chile,2017,6.65199995,
Chile,2018,6.476,
Chile,2019,6.444,
Chile,2020,6.228499889,
China,2015,5.14,
China,2016,5.245,
China,2017,5.272999763,
China,2018,5.246,
China,2019,5.191,
China,2020,5.123899937,
Colombia,2015,6.477,
Colombia,2016,6.481,
Colombia,2017,6.356999874,
Colombia,2018,6.26,
Colombia,2019,6.125,
Colombia,2020,6.163400173,
Comoros,2015,3.956,
Comoros,2016,3.956,
Comoros,2017,0,
Comoros,2018,0,
Comoros,2019,3.973,
Comoros,2020,4.288599968,
Congo (Brazzaville),2015,3.989,
Congo (Brazzaville),2016,4.236,
Congo (Brazzaville),2017,4.290999889,
Congo (Brazzaville),2018,4.559,
Congo (Brazzaville),2019,4.812,
Congo (Brazzaville),2020,5.194399834,
Congo (Kinshasa),2015,4.517,
Congo (Kinshasa),2016,4.272,
Congo (Kinshasa),2017,4.28000021,
Congo (Kinshasa),2018,4.245,
Congo (Kinshasa),2019,4.418,
Congo (Kinshasa),2020,4.31099987,
Costa Rica,2015,7.226,
Costa Rica,2016,7.087,
Costa Rica,2017,7.078999996,
Costa Rica,2018,7.072,
Costa Rica,2019,7.167,
Costa Rica,2020,7.121399879,
Croatia,2015,5.759,
Croatia,2016,5.488,
Croatia,2017,5.293000221,
Croatia,2018,5.321,
Croatia,2019,5.432,
Croatia,2020,5.504700184,
Cyprus,2015,5.689,
Cyprus,2016,5.546,
Cyprus,2017,5.620999813,
Cyprus,2018,5.762,
Cyprus,2019,6.046,
Cyprus,2020,6.15899992,
Czech Republic,2015,6.505,
Czech Republic,2016,6.596,
Czech Republic,2017,6.609000206,
Czech Republic,2018,6.711,
Czech Republic,2019,6.852,
Czech Republic,2020,6.910900116,
Denmark,2015,7.527,
Denmark,2016,7.526,
Denmark,2017,7.521999836,
Denmark,2018,7.555,
Denmark,2019,7.6,
Denmark,2020,7.645599842,
Dominican Republic,2015,4.885,
Dominican Republic,2016,5.155,
Dominican Republic,2017,5.230000019,
Dominican Republic,2018,5.302,
Dominican Republic,2019,5.425,
Dominican Republic,2020,5.689199924,
Ecuador,2015,5.975,
Ecuador,2016,5.976,
Ecuador,2017,6.007999897,
Ecuador,2018,5.973,
Ecuador,2019,6.028,
Ecuador,2020,5.925199986,
Egypt,2015,4.194,
Egypt,2016,4.362,
Egypt,2017,4.735000134,
Egypt,2018,4.419,
Egypt,2019,4.166,
Egypt,2020,4.151400089,
El Salvador,2015,6.13,
El Salvador,2016,6.068,
El Salvador,2017,6.002999783,
El Salvador,2018,6.167,
El Salvador,2019,6.253,
El Salvador,2020,6.34829998,
Estonia,2015,5.429,
Estonia,2016,5.517,
Estonia,2017,5.611000061,
Estonia,2018,5.739,
Estonia,2019,5.893,
Estonia,2020,6.021800041,
Ethiopia,2015,4.512,
Ethiopia,2016,4.508,
Ethiopia,2017,4.460000038,
Ethiopia,2018,4.35,
Ethiopia,2019,4.286,
Ethiopia,2020,4.186200142,
Finland,2015,7.406,
Finland,2016,7.413,
Finland,2017,7.468999863,
Finland,2018,7.632,
Finland,2019,7.769,
Finland,2020,7.808700085,
France,2015,6.575,
France,2016,6.478,
France,2017,6.441999912,
France,2018,6.489,
France,2019,6.592,
France,2020,6.663799763,
Gabon,2015,3.896,
Gabon,2016,4.121,
Gabon,2017,4.465000153,
Gabon,2018,4.758,
Gabon,2019,4.799,
Gabon,2020,4.829299927,
Gambia,2015,0,
Gambia,2016,0,
Gambia,2017,0,
Gambia,2018,0,
Gambia,2019,4.516,
Gambia,2020,4.750599861,
Georgia,2015,4.297,
Georgia,2016,4.252,
Georgia,2017,4.285999775,
Georgia,2018,4.34,
Georgia,2019,4.519,
Georgia,2020,4.672599792,
Germany,2015,6.75,
Germany,2016,6.994,
Germany,2017,6.951000214,
Germany,2018,6.965,
Germany,2019,6.985,
Germany,2020,7.075799942,
Ghana,2015,4.633,
Ghana,2016,4.276,
Ghana,2017,4.119999886,
Ghana,2018,4.657,
Ghana,2019,4.996,
Ghana,2020,5.147999763,
Greece,2015,4.857,
Greece,2016,5.033,
Greece,2017,5.227000237,
Greece,2018,5.358,
Greece,2019,5.287,
Greece,2020,5.514999866,
Guatemala,2015,6.123,
Guatemala,2016,6.324,
Guatemala,2017,6.453999996,
Guatemala,2018,6.382,
Guatemala,2019,6.436,
Guatemala,2020,6.398900032,
Guinea,2015,3.656,
Guinea,2016,3.607,
Guinea,2017,3.506999969,
Guinea,2018,3.964,
Guinea,2019,4.534,
Guinea,2020,4.949299812,
Haiti,2015,4.518,
Haiti,2016,4.028,
Haiti,2017,3.602999926,
Haiti,2018,3.582,
Haiti,2019,3.597,
Haiti,2020,3.720799923,
Honduras,2015,4.788,
Honduras,2016,4.871,
Honduras,2017,5.181000233,
Honduras,2018,5.504,
Honduras,2019,5.86,
Honduras,2020,5.953199863,
Hungary,2015,4.8,
Hungary,2016,5.145,
Hungary,2017,5.323999882,
Hungary,2018,5.62,
Hungary,2019,5.758,
Hungary,2020,6.000400066,
Iceland,2015,7.561,
Iceland,2016,7.501,
Iceland,2017,7.504000187,
Iceland,2018,7.495,
Iceland,2019,7.494,
Iceland,2020,7.504499912,
India,2015,4.565,
India,2016,4.404,
India,2017,4.315000057,
India,2018,4.19,
India,2019,4.015,
India,2020,3.573299885,
Indonesia,2015,5.399,
Indonesia,2016,5.314,
Indonesia,2017,5.262000084,
Indonesia,2018,5.093,
Indonesia,2019,5.192,
Indonesia,2020,5.285600185,
Iran,2015,4.686,
Iran,2016,4.813,
Iran,2017,4.691999912,
Iran,2018,4.707,
Iran,2019,4.548,
Iran,2020,4.672399998,
Iraq,2015,4.677,
Iraq,2016,4.575,
Iraq,2017,4.497000217,
Iraq,2018,4.456,
Iraq,2019,4.437,
Iraq,2020,4.784800053,
Ireland,2015,6.94,
Ireland,2016,6.907,
Ireland,2017,6.977000237,
Ireland,2018,6.977,
Ireland,2019,7.021,
Ireland,2020,7.093699932,
Israel,2015,7.278,
Israel,2016,7.267,
Israel,2017,7.212999821,
Israel,2018,6.814,
Israel,2019,7.139,
Israel,2020,7.128600121,
Italy,2015,5.948,
Italy,2016,5.977,
Italy,2017,5.964000225,
Italy,2018,6,
Italy,2019,6.223,
Italy,2020,6.38740015,
Ivory Coast,2015,3.655,
Ivory Coast,2016,3.916,
Ivory Coast,2017,4.179999828,
Ivory Coast,2018,4.671,
Ivory Coast,2019,4.944,
Ivory Coast,2020,5.233300209,
Jamaica,2015,5.709,
Jamaica,2016,5.51,
Jamaica,2017,5.31099987,
Jamaica,2018,5.89,
Jamaica,2019,5.89,
Jamaica,2020,5.889800072,
Japan,2015,5.987,
Japan,2016,5.921,
Japan,2017,5.920000076,
Japan,2018,5.915,
Japan,2019,5.886,
Japan,2020,5.870800018,
Jordan,2015,5.192,
Jordan,2016,5.303,
Jordan,2017,5.335999966,
Jordan,2018,5.161,
Jordan,2019,4.906,
Jordan,2020,4.633399963,
Kazakhstan,2015,5.855,
Kazakhstan,2016,5.919,
Kazakhstan,2017,5.818999767,
Kazakhstan,2018,5.79,
Kazakhstan,2019,5.809,
Kazakhstan,2020,6.057899952,
Kenya,2015,4.419,
Kenya,2016,4.356,
Kenya,2017,4.552999973,
Kenya,2018,4.41,
Kenya,2019,4.509,
Kenya,2020,4.583000183,
Kosovo,2015,5.589,
Kosovo,2016,5.401,
Kosovo,2017,5.278999805,
Kosovo,2018,5.662,
Kosovo,2019,6.1,
Kosovo,2020,6.325200081,
Kuwait,2015,6.295,
Kuwait,2016,6.239,
Kuwait,2017,6.105000019,
Kuwait,2018,6.083,
Kuwait,2019,6.021,
Kuwait,2020,6.102099895,
Kyrgyzstan,2015,5.286,
Kyrgyzstan,2016,5.185,
Kyrgyzstan,2017,5.004000187,
Kyrgyzstan,2018,5.131,
Kyrgyzstan,2019,5.261,
Kyrgyzstan,2020,5.541500092,
Laos,2015,4.876,
Laos,2016,4.876,
Laos,2017,0,
Laos,2018,4.623,
Laos,2019,4.796,
Laos,2020,4.888599873,
Latvia,2015,5.098,
Latvia,2016,5.56,
Latvia,2017,5.849999905,
