Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,Western Europe,7.80870008,0.03115631,7.86976624,7.74763393,10.639267,0.95432973,71.9008255,0.9491722,-0.059482,0.19544458,1.97231674,1.28518951,1.4995259,0.96127141,0.66231674,0.15967044,0.47785726,2.76283503
Denmark,Western Europe,7.64559984,0.03349229,7.71124458,7.5799551,10.7740011,0.95599079,72.402504,0.95144427,0.06620178,0.16848946,1.97231674,1.32694852,1.5034492,0.97933257,0.6650399,0.2427934,0.49526033,2.43274069
Switzerland,Western Europe,7.55989981,0.03501417,7.62852764,7.49127197,10.9799328,0.9428466,74.1024475,0.92133665,0.10591104,0.30372843,1.97231674,1.39077425,1.47240341,1.04053319,0.62895447,0.26905575,0.4079459,2.35026741
Iceland,Western Europe,7.50449991,0.05961586,7.62134695,7.38765287,10.7725592,0.97466958,73,0.94889188,0.24694422,0.71170974,1.97231674,1.32650161,1.54756749,1.00084341,0.66198075,0.36233023,0.14454077,2.46068811
Norway,Western Europe,7.48799992,0.03483738,7.55628109,7.41971874,11.0878038,0.95248657,73.2007828,0.95575029,0.13453263,0.26321819,1.97231674,1.42420733,1.4951725,1.0080719,0.67020088,0.28798509,0.43410057,2.1682663
Netherlands,Western Europe,7.44890022,0.02779175,7.50337219,7.39442825,10.8127117,0.93913883,72.3009186,0.90854782,0.20761244,0.36471713,1.97231674,1.33894634,1.46364594,0.97567534,0.61362648,0.33631757,0.36856976,2.35211706
Sweden,Western Europe,7.35349989,0.0362342,7.42451906,7.28248072,10.7587938,0.92631119,72.600769,0.93914419,0.11161462,0.25088018,1.97231674,1.32223523,1.4333477,0.98647046,0.6502977,0.27282789,0.44206637,2.24629927
New Zealand,North America and ANZ,7.29960012,0.03946547,7.37695265,7.2222476,10.5009432,0.94911897,73.2026291,0.93621749,0.19159807,0.22113885,1.97231674,1.24231791,1.48721838,1.0081383,0.64678991,0.32572621,0.46126828,2.12810802
Austria,Western Europe,7.29419994,0.03336516,7.35959578,7.22880411,10.7428236,0.92804587,73.0025024,0.89998949,0.08542922,0.49995488,1.97231674,1.31728554,1.43744493,1.00093353,0.60336888,0.25550976,0.28125614,2.39844608
Luxembourg,Western Europe,7.23750019,0.03085179,7.29796982,7.17703056,11.4506807,0.90691221,72.5999985,0.90563643,-0.0046206,0.36708429,1.97231674,1.53667605,1.38752842,0.98644269,0.61013705,0.19595392,0.36704147,2.15370035
Canada,North America and ANZ,7.23210001,0.04040546,7.31129456,7.15290546,10.6923685,0.92717665,73.6016006,0.93391323,0.12477077,0.39084336,1.97231674,1.30164766,1.4353919,1.02250195,0.64402813,0.28152892,0.35170186,2.19526911
Australia,North America and ANZ,7.22279978,0.04184112,7.30480814,7.14079142,10.7205963,0.94485462,73.604538,0.91543174,0.19046016,0.41516912,1.97231674,1.31039643,1.47714627,1.02260768,0.62187719,0.32497361,0.33599642,2.12980413
United Kingdom,Western Europe,7.16450024,0.03716191,7.23733759,7.09166288,10.6001348,0.93668282,72.3016052,0.83474368,0.26373249,0.43591592,1.97231674,1.27306104,1.45784497,0.97570008,0.52516866,0.37343344,0.32260165,2.23672199
Israel,Middle East and North Africa,7.12860012,0.04251518,7.2119298,7.04527044,10.4175253,0.91357124,73.2002563,0.74758059,0.10259372,0.78085506,1.97231674,1.21646369,1.40325677,1.00805295,0.42069948,0.2668618,0.09989845,2.7133584
Costa Rica,Latin America and Caribbean,7.12139988,0.04481612,7.20923948,7.03356028,9.65815639,0.90154594,71.2998505,0.93473893,-0.1024297,0.78633243,1.97231674,0.98110771,1.37485361,0.93963534,0.64501774,0.13126631,0.09636209,2.95313501
Ireland,Western Europe,7.09369993,0.03986345,7.17183208,7.01556778,11.1609783,0.94208157,72.3007889,0.88698298,0.14578497,0.35718417,1.97231674,1.44688678,1.47059643,0.9756707,0.58777994,0.29542699,0.37343326,1.94387817
Germany,Western Europe,7.07579994,0.0356098,7.14559507,7.00600481,10.7328186,0.89887446,72.2020187,0.86737108,0.08017939,0.45642203,1.97231674,1.31418455,1.36854374,0.9721148,0.56427413,0.2520377,0.30936229,2.29524946
United States,North America and ANZ,6.93959999,0.04731617,7.03233957,6.84686041,10.9257689,0.91421902,68.2994995,0.84261954,0.14989173,0.69971532,1.97231674,1.37398684,1.40478671,0.83161801,0.53460824,0.29814306,0.15228474,2.34412479
Czech Republic,Central and Eastern Europe,6.91090012,0.0428913,6.99496698,6.82683325,10.4041634,0.91443068,70.0479355,0.81853735,-0.2308615,0.85844624,1.97231674,1.21232235,1.40528667,0.89456445,0.50574458,0.04632593,0.04980322,2.79680824
Belgium,Western Europe,6.86350012,0.03437036,6.93086624,6.796134,10.6736393,0.91163254,72.0016479,0.81358206,-0.0786912,0.61229795,1.97231674,1.29584277,1.39867759,0.96490115,0.49980542,0.14696616,0.20872405,2.34862661
